year,event,incident_number,incident_start,incident_end,declaration_date,days_to_declaration_from_start,days_to_declaration_from_end,declaration_url,state,incident_type,valid_ihp_applications,eligible_ihp_applications,ihp_eligibility_rate,ihp_average_award,ihp_total,pa_total,pa_projects_count,cdbg_dr_allocation,frn1_date,frn1_days_since_disaster,frn1_url,frn1_grantee1_name,frn1_grantee1_url,frn1_grantee1_amount,frn1_grantee2_name,frn1_grantee2_url,frn1_grantee2_amount,frn1_grantee3_name,frn1_grantee3_url,frn1_grantee3_amount,frn1_grantee4_name,frn1_grantee4_url,frn1_grantee4_amount,frn1_grantee5_name,frn1_grantee5_url,frn1_grantee5_amount,frn1_grantee6_name,frn1_grantee6_url,frn1_grantee6_amount,frn1_grantee7_name,frn1_grantee7_url,frn1_grantee7_amount,frn1_grantee8_name,frn1_grantee8_url,frn1_grantee8_amount,frn1_grantee9_name,frn1_grantee9_url,frn1_grantee9_amount,frn2_date,frn2_url,frn2_grantee1_name,frn2_grantee1_url,frn2_grantee1_amount,frn2_grantee2_name,frn2_grantee2_url,frn2_grantee2_amount,frn2_grantee3_name,frn2_grantee3_url,frn2_grantee3_amount,frn2_grantee4_name,frn2_grantee4_url,frn2_grantee4_amount,frn3_date,frn3_url,frn3_grantee1_name,frn3_grantee1_url,frn3_grantee1_amount,frn3_grantee2_name,frn3_grantee2_url,frn3_grantee2_amount,frn3_grantee3_name,frn3_grantee3_url,frn3_grantee3_amount,frn3_grantee4_name,frn3_grantee4_url,frn3_grantee4_amount,frn4_date,frn4_url,frn4_grantee1_name,frn4_grantee1_url,frn4_grantee1_amount,sba_total_approved_loan_amount,sba_loan_count,sba_home_approved_loan_amount,sba_home_loan_count,sba_business_approved_loan_amount,sba_business_loan_count
2026,Northern Mariana Islands Super Typhoon Sinlaku,4910,2026-04-11,2026-04-18,2026-04-23,12,5,https://www.fema.gov/disaster/4910,MP,Hurricane,11319,5421,47.89,4431.54,24023361.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2026,"Hawaii Severe Storms, Flooding, Landslides, and Mudslides",4909,2026-03-10,2026-03-24,2026-04-07,28,14,https://www.fema.gov/disaster/4909,HI,Flood,3240,1776,54.81,7166.98,12728550.96,197625.81,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Washington Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",4906,2025-12-05,2025-12-19,2026-04-07,123,109,https://www.fema.gov/disaster/4906,WA,Flood,1994,1008,50.55,9316.88,9391410.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,South Dakota Straight-Line Winds,4903,2025-12-17,2025-12-18,2026-04-07,111,110,https://www.fema.gov/disaster/4903,SD,Straight-Line Winds,NA,NA,NA,NA,NA,120409.38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,Montana Severe Winter Storm and Straight-Line Winds,4902,2025-12-17,2025-12-18,2026-04-07,111,110,https://www.fema.gov/disaster/4902,MT,Straight-Line Winds,NA,NA,NA,NA,NA,147237.76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,Montana Severe Storms and Flooding,4901,2025-12-09,2025-12-11,2026-04-07,119,117,https://www.fema.gov/disaster/4901,MT,Flood,NA,NA,NA,NA,NA,198931.21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2026,Louisiana Severe Winter Storm,4900,2026-01-23,2026-01-27,2026-02-18,26,22,https://www.fema.gov/disaster/4900,LA,Winter Storm,NA,NA,NA,NA,NA,591709.94,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2026,Mississippi Severe Winter Storm,4899,2026-01-23,2026-01-27,2026-02-06,14,10,https://www.fema.gov/disaster/4899,MS,Winter Storm,81169,37463,46.15,3242.3,121466256.3,37163560.09,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2026,Tennessee Severe Winter Storm,4898,2026-01-22,2026-01-27,2026-02-06,15,10,https://www.fema.gov/disaster/4898,TN,Winter Storm,66222,29417,44.42,2282.25,67136955.13,12437060.09,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Kansas Severe Storms, Straight-Line Winds, and Flooding",4897,2025-07-17,2025-07-22,2025-12-19,155,150,https://www.fema.gov/disaster/4897,KS,Severe Storm,NA,NA,NA,NA,NA,422043.88,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Nebraska Severe Storms, Straight-Line Winds, and Flooding",4896,2025-08-08,2025-08-10,2025-10-22,75,73,https://www.fema.gov/disaster/4896,NE,Severe Storm,NA,NA,NA,NA,NA,1975497.95,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"North Dakota Severe Storms, Straight-Line Winds, and Tornadoes",4895,2025-08-07,2025-08-08,2025-10-22,76,75,https://www.fema.gov/disaster/4895,ND,Severe Storm,NA,NA,NA,NA,NA,350643.66,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,Minnesota Severe Storms and Straight-Line Winds,4894,2025-06-21,2025-06-21,2025-10-22,123,123,https://www.fema.gov/disaster/4894,MN,Straight-Line Winds,209,118,56.46,2158.19,254666.02,26704.44,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Alaska Severe Storms, Flooding, and Remnants of Typhoon Halong",4893,2025-10-08,2025-10-13,2025-10-22,14,9,https://www.fema.gov/disaster/4893,AK,Flood,2507,2075,82.77,23125.84,47986117.82,5427399.66,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Wisconsin Severe Storms, Straight-Line Winds, Flooding, and Mudslides",4892,2025-08-09,2025-08-12,2025-09-11,33,30,https://www.fema.gov/disaster/4892,WI,Flood,45721,36835,80.56,5694.51,209757241.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Kansas Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4891,2025-06-03,2025-06-07,2025-09-11,100,96,https://www.fema.gov/disaster/4891,KS,Severe Storm,NA,NA,NA,NA,NA,691468.55,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,South Dakota Severe Storm and Flooding,4890,2025-06-12,2025-06-16,2025-09-11,91,87,https://www.fema.gov/disaster/4890,SD,Flood,363,347,95.59,9071.62,3147851.7,548625.39,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,North Carolina Tropical Depression Chantal,4889,2025-07-06,2025-07-07,2025-09-11,67,66,https://www.fema.gov/disaster/4889,NC,Tropical Depression,NA,NA,NA,NA,NA,7313910.65,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"North Dakota Severe Storm, Tornadoes, and Straight-Line Winds",4888,2025-06-20,2025-06-21,2025-09-11,83,82,https://www.fema.gov/disaster/4888,ND,Severe Storm,NA,NA,NA,NA,NA,5094708.91,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Montana Severe Storms, Straight-Line Winds, and Flooding",4887,2025-05-18,2025-05-22,2025-09-11,116,112,https://www.fema.gov/disaster/4887,MT,Flood,NA,NA,NA,NA,NA,227195.02,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"New Mexico Severe Storms, Flooding, and Landslides",4886,2025-06-23,2025-08-05,2025-07-22,29,-14,https://www.fema.gov/disaster/4886,NM,Flood,819,624,76.19,14911.68,9304888.77,12435817.44,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,Missouri Severe Storms and Flooding,4885,2025-05-23,2025-05-26,2025-07-22,60,57,https://www.fema.gov/disaster/4885,MO,Severe Storm,NA,NA,NA,NA,NA,7902313.86,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"West Virginia Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",4884,2025-06-14,2025-06-15,2025-07-22,38,37,https://www.fema.gov/disaster/4884,WV,Flood,1134,915,80.69,12958.33,11856872.3,8710143.94,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Kansas Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4883,2025-05-18,2025-05-19,2025-07-22,65,64,https://www.fema.gov/disaster/4883,KS,Severe Storm,NA,NA,NA,NA,NA,820356.81,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Indiana Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4882,2025-03-30,2025-04-09,2025-07-22,114,104,https://www.fema.gov/disaster/4882,IN,Flood,NA,NA,NA,NA,NA,8879284.65,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Oregon Severe Storms, Flooding, Landslides, and Mudslides",4881,2025-03-13,2025-03-20,2025-07-22,131,124,https://www.fema.gov/disaster/4881,OR,Severe Storm,NA,NA,NA,NA,NA,2809489.59,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,Michigan Severe Winter Storm,4880,2025-03-28,2025-03-30,2025-07-22,116,114,https://www.fema.gov/disaster/4880,MI,Severe Ice Storm,NA,NA,NA,NA,NA,11986213.03,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Texas Severe Storms, Straight-Line Winds, and Flooding",4879,2025-07-02,2025-07-18,2025-07-06,4,-12,https://www.fema.gov/disaster/4879,TX,Flood,8634,3878,44.92,10631.96,41230753.76,98559564.48,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Tennessee Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4878,2025-04-02,2025-04-24,2025-06-19,78,56,https://www.fema.gov/disaster/4878,TN,Severe Storm,1696,1101,64.92,8637.24,9509604.38,22034583.48,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Missouri Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4877,2025-05-16,2025-05-16,2025-06-09,24,24,https://www.fema.gov/disaster/4877,MO,Severe Storm,16310,9418,57.74,6074.04,57205278.03,99414400.35,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Missouri Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4876,2025-04-29,2025-04-29,2025-06-09,41,41,https://www.fema.gov/disaster/4876,MO,Severe Storm,NA,NA,NA,NA,NA,5831584.47,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Kentucky Severe Storms, Straight-Line Winds, and Tornadoes",4875,2025-05-16,2025-05-17,2025-05-23,7,6,https://www.fema.gov/disaster/4875,KY,Severe Storm,1506,628,41.7,6547.2,4111638.87,7331987.9,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Mississippi Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4874,2025-03-14,2025-03-15,2025-05-21,68,67,https://www.fema.gov/disaster/4874,MS,Severe Storm,9861,6630,67.23,7923.83,52534968.45,30138625.49,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Arkansas Severe Storms, Tornadoes, and Flooding",4873,2025-04-02,2025-04-22,2025-05-21,49,29,https://www.fema.gov/disaster/4873,AR,Flood,8305,4132,49.75,5951.61,24592040.88,34596437.58,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Missouri Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4872,2025-03-30,2025-04-08,2025-05-21,52,43,https://www.fema.gov/disaster/4872,MO,Severe Storm,418,255,61,11390.54,2904587.37,12004812.16,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,Texas Severe Storms and Flooding,4871,2025-03-26,2025-03-28,2025-05-21,56,54,https://www.fema.gov/disaster/4871,TX,Flood,18686,15447,82.67,7052.81,108944760.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,Iowa Severe Winter Storm,4870,2025-03-19,2025-03-19,2025-05-21,63,63,https://www.fema.gov/disaster/4870,IA,Winter Storm,NA,NA,NA,NA,NA,751812.51,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Kansas Severe Winter Storm, Straight-Line Winds, Flooding, and Wildfires",4869,2025-03-14,2025-03-19,2025-05-21,68,63,https://www.fema.gov/disaster/4869,KS,Severe Storm,NA,NA,NA,NA,NA,452569.97,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,Nebraska Severe Winter Storm and Straight-Line Winds,4868,2025-03-18,2025-03-19,2025-05-21,64,63,https://www.fema.gov/disaster/4868,NE,Winter Storm,NA,NA,NA,NA,NA,20540160.48,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,"Missouri Severe Storms, Straight-Line Winds, Tornadoes, and Wildfires",4867,2025-03-14,2025-03-15,2025-05-21,68,67,https://www.fema.gov/disaster/4867,MO,Severe Storm,3497,1267,36.23,4634.1,5871402.45,14371650.01,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2025,Oklahoma Wildfires and Straight-Line Winds,4866,2025-03-14,2025-03-21,2025-05-21,68,61,https://www.fema.gov/disaster/4866,OK,Fire,667,381,57.12,21091.81,8035978.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
