"year","event","incident_number","incident_start","incident_end","declaration_date","declaration_url","state","incident_type","valid_ihp_applications","eligible_ihp_applications","ihp_eligibility_rate","ihp_average_award","ihp_total","pa_total","pa_projects_count","cdbg_dr_allocation","frn1_date","frn1_days_since_disaster","frn1_url","frn1_grantee1_name","frn1_grantee1_url","frn1_grantee1_amount","frn1_grantee2_name","frn1_grantee2_url","frn1_grantee2_amount","frn1_grantee3_name","frn1_grantee3_url","frn1_grantee3_amount","frn1_grantee4_name","frn1_grantee4_url","frn1_grantee4_amount","frn1_grantee5_name","frn1_grantee5_url","frn1_grantee5_amount","frn1_grantee6_name","frn1_grantee6_url","frn1_grantee6_amount","frn1_grantee7_name","frn1_grantee7_url","frn1_grantee7_amount","frn1_grantee8_name","frn1_grantee8_url","frn1_grantee8_amount","frn1_grantee9_name","frn1_grantee9_url","frn1_grantee9_amount","frn2_date","frn2_url","frn2_grantee1_name","frn2_grantee1_url","frn2_grantee1_amount","frn2_grantee2_name","frn2_grantee2_url","frn2_grantee2_amount","frn2_grantee3_name","frn2_grantee3_url","frn2_grantee3_amount","frn2_grantee4_name","frn2_grantee4_url","frn2_grantee4_amount","frn3_date","frn3_url","frn3_grantee1_name","frn3_grantee1_url","frn3_grantee1_amount","frn3_grantee2_name","frn3_grantee2_url","frn3_grantee2_amount","frn3_grantee3_name","frn3_grantee3_url","frn3_grantee3_amount","frn3_grantee4_name","frn3_grantee4_url","frn3_grantee4_amount","frn4_date","frn4_url","frn4_grantee1_name","frn4_grantee1_url","frn4_grantee1_amount"
2024,"Nebraska Severe Storms, Straight-Line Winds, and Tornadoes",4778,"2024-04-25","2024-04-27","2024-05-03","https://www.fema.gov/disaster/4778","NE","Tornado",958,282,29.44,3420.24,964508.94,1085196.53,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Ohio Tornadoes",4777,"2024-03-14","2024-03-14","2024-05-02","https://www.fema.gov/disaster/4777","OH","Tornado",1346,481,35.74,7767.75,3736286.82,NA,NA,14116000,"2025-01-16",259,"https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00943.pdf","State of Ohio","",14116000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2024,"Oklahoma Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4776,"2024-04-25","2024-05-09","2024-04-30","https://www.fema.gov/disaster/4776","OK","Tornado",3229,1552,48.06,6765.5,10500063.03,23805091.22,200,19702500,"2025-01-16",261,"https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00943.pdf","State of Oklahoma","",19702500,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2024,"Washington Severe Winter Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",4775,"2024-01-05","2024-01-29","2024-04-28","https://www.fema.gov/disaster/4775","WA","Severe Storm",NA,NA,NA,NA,NA,4028387.46,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Kansas Severe Winter Storm",4774,"2024-01-08","2024-01-16","2024-04-28","https://www.fema.gov/disaster/4774","KS","Winter Storm",NA,NA,NA,NA,NA,1741824.92,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"California Severe Winter Storm",4773,"2024-01-30","2024-01-31","2024-04-19","https://www.fema.gov/disaster/4773","CA","Severe Storm",NA,NA,NA,NA,NA,241413.95,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"California Severe Storms and Flooding",4772,"2024-01-31","2024-02-09","2024-04-19","https://www.fema.gov/disaster/4772","CA","Severe Storm",NA,NA,NA,NA,NA,594547.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"New Hampshire Severe Storms and Flooding",4771,"2024-01-09","2024-01-14","2024-04-19","https://www.fema.gov/disaster/4771","NH","Severe Storm",NA,NA,NA,NA,NA,2558712.57,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Vermont Severe Winter Storm",4770,"2024-01-09","2024-01-13","2024-04-19","https://www.fema.gov/disaster/4770","VT","Severe Storm",NA,NA,NA,NA,NA,426503.33,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"California Severe Winter Storms, Tornadoes, Flooding, Landslides, and Mudslides",4769,"2024-01-31","2024-02-09","2024-04-13","https://www.fema.gov/disaster/4769","CA","Severe Storm",NA,NA,NA,NA,NA,8438185.19,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
