"year","event","incident_number","incident_start","incident_end","declaration_date","declaration_url","state","incident_type","valid_ihp_applications","eligible_ihp_applications","ihp_eligibility_rate","ihp_average_award","ihp_total","pa_total","pa_projects_count","cdbg_dr_allocation","frn1_date","frn1_days_since_disaster","frn1_url","frn1_grantee1_name","frn1_grantee1_url","frn1_grantee1_amount","frn1_grantee2_name","frn1_grantee2_url","frn1_grantee2_amount","frn1_grantee3_name","frn1_grantee3_url","frn1_grantee3_amount","frn1_grantee4_name","frn1_grantee4_url","frn1_grantee4_amount","frn1_grantee5_name","frn1_grantee5_url","frn1_grantee5_amount","frn1_grantee6_name","frn1_grantee6_url","frn1_grantee6_amount","frn1_grantee7_name","frn1_grantee7_url","frn1_grantee7_amount","frn1_grantee8_name","frn1_grantee8_url","frn1_grantee8_amount","frn1_grantee9_name","frn1_grantee9_url","frn1_grantee9_amount","frn2_date","frn2_url","frn2_grantee1_name","frn2_grantee1_url","frn2_grantee1_amount","frn2_grantee2_name","frn2_grantee2_url","frn2_grantee2_amount","frn2_grantee3_name","frn2_grantee3_url","frn2_grantee3_amount","frn2_grantee4_name","frn2_grantee4_url","frn2_grantee4_amount","frn3_date","frn3_url","frn3_grantee1_name","frn3_grantee1_url","frn3_grantee1_amount","frn3_grantee2_name","frn3_grantee2_url","frn3_grantee2_amount","frn3_grantee3_name","frn3_grantee3_url","frn3_grantee3_amount","frn3_grantee4_name","frn3_grantee4_url","frn3_grantee4_amount","frn4_date","frn4_url","frn4_grantee1_name","frn4_grantee1_url","frn4_grantee1_amount"
2022,"Florida Hurricane Ian",4673,"2022-09-23","2022-11-04","2022-09-29","https://www.fema.gov/disaster/4673","FL","Hurricane",911713,387130,42.46,2970.98,1150156938.69,2512744388.40001,2904,2768662000,"2023-05-18",231,"https://www.hud.gov/sites/dfiles/CPD/documents/FR-6393-N-01-AAN.pdf","Lee County","https://cdbgdr.leegov.com/",1107881000,"Orange County","https://www.ocfl.net/NeighborsHousing/OCDisasterRecovery.aspx",219712000,"Volusia County","https://www.transform386.org/",328910000,"Sarasota County","https://www.resilientsrq.net/cdbg-dr",201535000,"State of Florida","https://www.ocfl.net/NeighborsHousing/OCDisasterRecovery.aspx",910624000,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2022,"Alaska Severe Storm, Flooding, and Landslides",4672,"2022-09-15","2022-09-20","2022-09-23","https://www.fema.gov/disaster/4672","AK","Severe Storm",1088,873,80.24,7797.94,6807601.19,93563683.08,138,38493000,"2023-05-18",237,"https://www.hud.gov/sites/dfiles/CPD/documents/FR-6393-N-01-AAN.pdf","State of Alaska","https://www.commerce.alaska.gov/web/dcra/GrantsSection/CDBG-DR.aspx",38493000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2022,"Puerto Rico Hurricane Fiona",4671,"2022-09-17","2022-09-21","2022-09-21","https://www.fema.gov/disaster/4671","PR","Hurricane",1239102,741074,59.81,875.94,649134481.69,1492945025.04,2591,83156000,"2023-05-18",239,"https://www.hud.gov/sites/dfiles/CPD/documents/FR-6393-N-01-AAN.pdf","Commonwealth of Puerto Rico","https://recuperacion.pr.gov/en/cdbg-dr/",83156000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2022,"American Samoa High Surf, High Winds, and Flooding",4669,"2022-07-12","2022-07-15","2022-09-15","https://www.fema.gov/disaster/4669","AS","Severe Storm",NA,NA,NA,NA,NA,1273951.56,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Arizona Severe Storms",4668,"2022-07-17","2022-07-18","2022-09-02","https://www.fema.gov/disaster/4668","AZ","Severe Storm",777,81,10.42,8865.27,718086.55,815764.95,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Alaska Flooding",4667,"2022-05-08","2022-05-11","2022-08-26","https://www.fema.gov/disaster/4667","AK","Flood",NA,NA,NA,NA,NA,573613.74,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Minnesota Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4666,"2022-05-29","2022-05-30","2022-08-09","https://www.fema.gov/disaster/4666","MN","Severe Storm",NA,NA,NA,NA,NA,7280832.07,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Missouri Severe Storms and Flooding",4665,"2022-07-25","2022-07-28","2022-08-08","https://www.fema.gov/disaster/4665","MO","Flood",27242,14020,51.46,3697.8,51843126.07,25461161.73,188,82259000,"2023-05-18",283,"https://www.hud.gov/sites/dfiles/CPD/documents/FR-6393-N-01-AAN.pdf","St. Louis County","https://stlouiscountymo.gov/st-louis-county-departments/human-services/community-development/community-development-block-grants/",56425000,"St. Louis City","https://www.stlouis-mo.gov/government/departments/community-development/cdbg/disaster-recovery/index.cfm",25834000,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2022,"South Dakota Severe Storm, Straight-Line Winds, Tornadoes, and Flooding",4664,"2022-06-11","2022-06-14","2022-08-02","https://www.fema.gov/disaster/4664","SD","Severe Storm",NA,NA,NA,NA,NA,1611600.43,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Kentucky Severe Storms, Flooding, Landslides, and Mudslides",4663,"2022-07-26","2022-08-11","2022-07-29","https://www.fema.gov/disaster/4663","KY","Flood",16037,8776,54.72,12598.64,110565668.96,353478041.62,1947,297994000,"2023-05-18",293,"https://www.hud.gov/sites/dfiles/CPD/documents/FR-6393-N-01-AAN.pdf","Commonwealth of Kentucky","https://kydlgweb.ky.gov/FederalGrants/16_CDBG.cfm",297994000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2022,"Nebraska Severe Storms and Straight-Line Winds",4662,"2022-05-12","2022-05-12","2022-07-27","https://www.fema.gov/disaster/4662","NE","Severe Storm",NA,NA,NA,NA,NA,10049600.17,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Alaska Landslide",4661,"2022-05-07","2022-05-07","2022-07-26","https://www.fema.gov/disaster/4661","AK","Mud/Landslide",NA,NA,NA,NA,NA,1110110.81,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"North Dakota Severe Winter Storm and Flooding",4660,"2022-04-22","2022-05-25","2022-07-13","https://www.fema.gov/disaster/4660","ND","Severe Storm",NA,NA,NA,NA,NA,73365343.2,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Minnesota Severe Storms, Straight-Line Winds, and Flooding",4659,"2022-04-22","2022-06-15","2022-07-13","https://www.fema.gov/disaster/4659","MN","Flood",NA,NA,NA,NA,NA,21205333.79,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Minnesota Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",4658,"2022-05-08","2022-05-13","2022-07-08","https://www.fema.gov/disaster/4658","MN","Severe Storm",NA,NA,NA,NA,NA,13610115.14,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Oklahoma Severe Storms, Tornadoes, and Flooding",4657,"2022-05-02","2022-05-08","2022-06-29","https://www.fema.gov/disaster/4657","OK","Severe Storm",2588,878,33.93,6264.75,5500448.67,NA,NA,7473000,"2023-05-18",323,"https://www.hud.gov/sites/dfiles/CPD/documents/FR-6393-N-01-AAN.pdf","State of Oklahoma","https://www.okcommerce.gov/reporting-compliance/cdbg-disaster-recovery-2022/",7473000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2022,"South Dakota Severe Storm, Straight-Line Winds, Tornadoes, and Flooding",4656,"2022-05-12","2022-05-12","2022-06-29","https://www.fema.gov/disaster/4656","SD","Severe Storm",NA,NA,NA,NA,NA,11512053.07,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Montana Severe Storm and Flooding",4655,"2022-06-10","2022-07-05","2022-06-16","https://www.fema.gov/disaster/4655","MT","Flood",862,330,38.28,11153.48,3680647.89,41043467.34,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Kansas Severe Winter Storms and Straight-Line Winds",4654,"2022-03-17","2022-03-22","2022-05-25","https://www.fema.gov/disaster/4654","KS","Snowstorm",NA,NA,NA,NA,NA,2056049.66,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Rhode Island Severe Winter Storm and Snowstorm",4653,"2022-01-28","2022-01-29","2022-05-12","https://www.fema.gov/disaster/4653","RI","Snowstorm",NA,NA,NA,NA,NA,8762169.86,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"New Mexico Wildfires, Straight-Line Winds, Flooding, Mudflows, and Debris Flows",4652,"2022-04-05","2022-07-23","2022-05-04","https://www.fema.gov/disaster/4652","NM","Fire",4285,1384,32.3,5531.83,7656047.59,203693267.89,153,4131000,"2023-11-27",572,"https://www.hud.gov/sites/dfiles/CPD/documents/FR-6428-N-01.pdf","State of New Mexico","https://www.nmdfa.state.nm.us/local-government/community-development-bureau/cdbg-information/",4131000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2022,"Massachusetts Severe Winter Storm and Snowstorm",4651,"2022-01-28","2022-01-29","2022-04-18","https://www.fema.gov/disaster/4651","MA","Snowstorm",NA,NA,NA,NA,NA,24385610.14,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Washington Severe Winter Storms, Snowstorms, Straight-Line Winds, Floodin",4650,"2021-12-26","2022-01-15","2022-03-29","https://www.fema.gov/disaster/4650","WA","Flood",NA,NA,NA,NA,NA,21559698.7,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Puerto Rico Severe Storm, Flooding, and Landslides",4649,"2022-02-04","2022-02-06","2022-03-29","https://www.fema.gov/disaster/4649","PR","Flood",1065,502,47.14,3134.68,1573608.91,NA,NA,83156000,"2023-05-18",415,"https://www.hud.gov/sites/dfiles/CPD/documents/FR-6393-N-01-AAN.pdf","Commonwealth of Puerto Rico","https://recuperacion.pr.gov/en/cdbg-dr/",83156000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","","","",NA
2021,"Alaska Severe Winter Storm and Straight-Line Winds",4648,"2021-12-25","2021-12-27","2022-03-24","https://www.fema.gov/disaster/4648","AK","Severe Storm",NA,NA,NA,NA,NA,1853546.84,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Maine Severe Storm and Flooding",4647,"2021-10-30","2021-10-31","2022-03-15","https://www.fema.gov/disaster/4647","ME","Coastal Storm",NA,NA,NA,NA,NA,6292407.05,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Alaska Severe Winter Storm and Straight-Line Winds",4646,"2022-01-01","2022-01-04","2022-03-14","https://www.fema.gov/disaster/4646","AK","Severe Storm",NA,NA,NA,NA,NA,5799157.65,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Tennessee Severe Winter Storm",4645,"2022-02-03","2022-02-04","2022-03-11","https://www.fema.gov/disaster/4645","TN","Severe Storm",NA,NA,NA,NA,NA,35372030.64,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Virginia Severe Winter Storm and Snowstorm",4644,"2022-01-02","2022-01-03","2022-03-11","https://www.fema.gov/disaster/4644","VA","Severe Storm",NA,NA,NA,NA,NA,111839489.42,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Kentucky Severe Storms, Straight-Line Winds, Tornadoes, Flooding, Landslides",4643,"2021-12-31","2022-01-02","2022-02-27","https://www.fema.gov/disaster/4643","KY","Severe Storm",NA,NA,NA,NA,NA,16161462.16,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Iowa Severe Storms, Straight-Line Winds, and Tornadoes",4642,"2021-12-15","2021-12-15","2022-02-23","https://www.fema.gov/disaster/4642","IA","Severe Storm",NA,NA,NA,NA,NA,6571789.27,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Nebraska Severe Storms, Straight-Line Winds, and Tornadoes",4641,"2021-12-15","2021-12-15","2022-02-23","https://www.fema.gov/disaster/4641","NE","Severe Storm",NA,NA,NA,NA,NA,8952555.56,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Kansas Severe Storms and Straight Line Winds",4640,"2021-12-15","2021-12-15","2022-02-17","https://www.fema.gov/disaster/4640","KS","Severe Storm",NA,NA,NA,NA,NA,16097932.65,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Hawaii Severe Storms, Flooding, and Landslides",4639,"2021-12-05","2021-12-10","2022-02-15","https://www.fema.gov/disaster/4639","HI","Severe Storm",NA,NA,NA,NA,NA,7036248.02,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Alaska Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",4638,"2021-10-29","2021-11-01","2022-01-15","https://www.fema.gov/disaster/4638","AK","Severe Storm",NA,NA,NA,NA,NA,4690711.99,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Tennessee Severe Storms, Straight-Line Winds, and Tornadoes",4637,"2021-12-10","2021-12-11","2022-01-14","https://www.fema.gov/disaster/4637","TN","Tornado",1684,195,11.58,6711.61,1308764.73,18705946.08,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Missouri Severe Storms, Straight-Line Winds, and Tornadoes",4636,"2021-12-10","2021-12-10","2022-01-10","https://www.fema.gov/disaster/4636","MO","Severe Storm",NA,NA,NA,NA,NA,12371571.01,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Washington Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",4635,"2021-11-05","2021-12-02","2022-01-05","https://www.fema.gov/disaster/4635","WA","Flood",1952,1119,57.33,6729,7529754.72,49926837.16,291,30823000,"2022-05-24",139,"https://www.hud.gov/sites/dfiles/CPD/documents/CDBG-DR/87_FR_31636.pdf","State of Washington","https://www.commerce.wa.gov/program-index/cdbg-dr/",18641000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"2023-01-18","https://www.govinfo.gov/content/pkg/FR-2023-01-18/pdf/2023-00721.pdf","State of Washington","https://www.commerce.wa.gov/program-index/cdbg-dr/",12182000,"","",NA,"","",NA,"","",NA,"","","","",NA
2021,"Colorado Wildfires and Straight-Line Winds",4634,"2021-12-30","2022-01-07","2021-12-31","https://www.fema.gov/disaster/4634","CO","Fire",3205,948,29.58,2251.48,2134406.55,52466368.83,77,12261000,"2022-05-24",144,"https://www.hud.gov/sites/dfiles/CPD/documents/CDBG-DR/87_FR_31636.pdf","State of Colorado","https://dlg.colorado.gov/community-development-block-grants-for-disaster",7415000,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"2023-01-18","https://www.govinfo.gov/content/pkg/FR-2023-01-18/pdf/2023-00721.pdf","State of Colorado","https://dlg.colorado.gov/community-development-block-grants-for-disaster",4846000,"","",NA,"","",NA,"","",NA,"","","","",NA
2021,"Arkansas Severe Storms and Tornadoes",4633,"2021-12-10","2021-12-11","2021-12-23","https://www.fema.gov/disaster/4633","AR","Tornado",594,138,23.23,6777.57,935304.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Alabama Severe Storms and Flooding",4632,"2021-10-06","2021-10-07","2021-12-21","https://www.fema.gov/disaster/4632","AL","Severe Storm",890,386,43.37,5500.21,2123079.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Washington Wildfires",4631,"2021-07-12","2021-08-08","2021-12-21","https://www.fema.gov/disaster/4631","WA","Fire",NA,NA,NA,NA,NA,3322451.54,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
