"state_name","district_label","district_number","representative","party","total_applicants","total_funding","funding_per_applicant","n_zips","disaster_numbers","NAMELSAD","STATEFP"
"California","California District 29",29,"Luz M. Rivas","Democrat",6634,1881113.92,283.556514923123,14,"4856","Congressional District 29","06"
"California","California District 30",30,"Laura Friedman","Democrat",47390,10126550.56,213.685388478582,30,"4856","Congressional District 30","06"
"California","California District 31",31,"Gilbert Ray Cisneros, Jr.","Democrat",2466,508473.58,206.193665855637,19,"4707,4856","Congressional District 31","06"
"California","California District 32",32,"Brad Sherman","Democrat",29451,62696650.57,2128.84623849784,28,"4683,4699,4856","Congressional District 32","06"
"California","California District 33",33,"Pete Aguilar","Democrat",211,139979.61,663.410473933649,14,"4699,4707","Congressional District 33","06"
"California","California District 34",34,"Jimmy Gomez","Democrat",40526,541159.51,13.3533906627844,19,"4856","Congressional District 34","06"
"California","California District 35",35,"Norma J. Torres","Democrat",460,47707.6,103.712173913043,13,"4699,4856","Congressional District 35","06"
"California","California District 36",36,"Ted Lieu","Democrat",8818,1406937.69,159.552924699478,25,"4707,4856","Congressional District 36","06"
"California","California District 37",37,"Sydney Kamlager-Dove","Democrat",54704,1154131.13,21.097746599883,21,"4856","Congressional District 37","06"
"California","California District 38",38,"Linda T. Sánchez","Democrat",1171,116179.73,99.2141161400512,17,"4707,4856","Congressional District 38","06"
"California","California District 39",39,"Mark Takano","Democrat",3,0,0,3,"4610,4699,4707","Congressional District 39","06"
"California","California District 40",40,"Young Kim","Republican",13,7481.61,575.508461538461,2,"4699,4707","Congressional District 40","06"
"California","California District 41",41,"Ken Calvert","Republican",1,0,0,1,"4707","Congressional District 41","06"
"California","California District 42",42,"Robert Garcia","Democrat",6117,978705.09,159.997562530652,22,"4699,4856","Congressional District 42","06"
"California","California District 43",43,"Maxine Waters","Democrat",19824,1742970.48,87.9222397094431,22,"4699,4707,4798,4856","Congressional District 43","06"
"California","California District 44",44,"Nanette Diaz Barragán","Democrat",1918,1052321.83,548.655802919708,13,"4856","Congressional District 44","06"
"California","California District 45",45,"Derek Tran","Democrat",102,300,2.94117647058824,3,"4707,4856","Congressional District 45","06"
"California","California District 46",46,"J. Luis Correa","Democrat",1,0,0,1,"4856","Congressional District 46","06"
"California","California District 47",47,"Dave Min","Democrat",0,0,NA,0,NA,"Congressional District 47","06"
"California","California District 48",48,"Darrell Issa","Republican",718,2302678.24,3207.07275766017,28,"4758","Congressional District 48","06"
"California","California District 49",49,"Mike Levin","Democrat",119,155265.31,1304.75050420168,13,"4610,4758","Congressional District 49","06"
"California","California District 50",50,"Scott H. Peters","Democrat",787,1501633.1,1908.04714104193,22,"4610,4673,4758","Congressional District 50","06"
"California","California District 51",51,"Sara Jacobs","Democrat",2114,7994273.21,3781.58619205298,17,"4758","Congressional District 51","06"
"California","California District 52",52,"Juan Vargas","Democrat",3879,15857401.97,4088.01288218613,16,"4610,4707,4715,4758","Congressional District 52","06"
"Colorado","Colorado District 1",1,"Diana DeGette","Democrat",0,0,NA,0,NA,"Congressional District 1","08"
"Colorado","Colorado District 2",2,"Joe Neguse","Democrat",3193,2134206.55,668.401675540244,15,"4634,4728","Congressional District 2","08"
"Colorado","Colorado District 3",3,"Jeff Hurd","Republican",0,0,NA,0,NA,"Congressional District 3","08"
"Colorado","Colorado District 4",4,"Lauren Boebert","Republican",0,0,NA,0,NA,"Congressional District 4","08"
"Colorado","Colorado District 5",5,"Jeff Crank","Republican",0,0,NA,0,NA,"Congressional District 5","08"
"Colorado","Colorado District 6",6,"Jason Crow","Democrat",0,0,NA,0,NA,"Congressional District 6","08"
"Colorado","Colorado District 7",7,"Brittany Pettersen","Democrat",1,0,0,1,"4634","Congressional District 7","08"
"Colorado","Colorado District 8",8,"Gabe Evans","Republican",7,500,71.4285714285714,1,"4634","Congressional District 8","08"
"Connecticut","Connecticut District 1",1,"John B. Larson","Democrat",15,1050,70,9,"4629,4820","Congressional District 1","09"
"Connecticut","Connecticut District 2",2,"Joe Courtney","Democrat",225,619140.63,2751.73613333333,24,"4629,4671,4820","Congressional District 2","09"
"Connecticut","Connecticut District 3",3,"Rosa L. DeLauro","Democrat",636,2309722.9,3631.63977987421,32,"4629,4671,4673,4820","Congressional District 3","09"
"Connecticut","Connecticut District 4",4,"James A. Himes","Democrat",2866,13386264.33,4670.7133042568,36,"4629,4671,4820","Congressional District 4","09"
"Connecticut","Connecticut District 5",5,"Jahana Hayes","Democrat",1274,8248662.84,6474.61761381476,35,"4629,4671,4820","Congressional District 5","09"
"Delaware","Delaware At-Large",0,"Sarah McBride","Democrat",0,0,NA,0,NA,"Congressional District (at Large)","10"
"District of Columbia","District of Columbia District 98",98,NA,NA,0,0,NA,0,NA,"Delegate District (at Large)","11"
"Florida","Florida District 1",1,"Jimmy Patronis","Republican",248,2800,11.2903225806452,35,"4673,4675,4834","Congressional District 1","12"
"Florida","Florida District 2",2,"Neal P. Dunn","Republican",40151,61933934.6,1542.52533187218,71,"4673,4675,4680,4734,4794,4806,4828,4834","Congressional District 2","12"
"Florida","Florida District 3",3,"Kat Cammack","Republican",81753,128398008.5,1570.56020574169,74,"4671,4673,4675,4680,4734,4806,4828,4834","Congressional District 3","12"
"Florida","Florida District 4",4,"Aaron Bean","Republican",20599,16593584.02,805.552891887956,29,"4673,4675,4680,4734,4806,4828,4834,4844","Congressional District 4","12"
"Florida","Florida District 5",5,"John H. Rutherford","Republican",10424,5558375.18,533.228624328473,21,"4673,4675,4680,4828,4834","Congressional District 5","12"
"Florida","Florida District 6",6,"Randy Fine","Republican",92521,101928041.7,1101.67466521114,57,"4671,4673,4675,4680,4734,4806,4828,4834","Congressional District 6","12"
"Florida","Florida District 7",7,"Cory Mills","Republican",103548,115151995.74,1112.06392919226,27,"4671,4673,4675,4680,4734,4828,4830,4834,4844","Congressional District 7","12"
"Florida","Florida District 8",8,"Mike Haridopolos","Republican",37879,24901744.7,657.40237862668,36,"4673,4675,4680,4834","Congressional District 8","12"
"Florida","Florida District 9",9,"Darren Soto","Democrat",95592,58123011.65,608.032174763578,24,"4673,4675,4734,4828,4834","Congressional District 9","12"
"Florida","Florida District 10",10,"Maxwell Frost","Democrat",96268,66863191.24,694.552616030249,25,"4671,4673,4675,4734,4834,4844","Congressional District 10","12"
"Florida","Florida District 11",11,"Daniel Webster","Republican",66533,39758225.32,597.571510678911,39,"4671,4673,4675,4680,4709,4734,4828,4834,4844","Congressional District 11","12"
"Florida","Florida District 12",12,"Gus M. Bilirakis","Republican",111602,227796109.71,2041.14719906453,45,"4673,4675,4734,4806,4828,4834","Congressional District 12","12"
"Florida","Florida District 13",13,"Anna Paulina Luna","Republican",232787,362513489.7,1557.27549089941,39,"4671,4673,4675,4734,4806,4828,4834","Congressional District 13","12"
"Florida","Florida District 14",14,"Kathy Castor","Democrat",289168,331459130.81,1146.25107484231,29,"4673,4675,4734,4806,4828,4834,4844","Congressional District 14","12"
"Florida","Florida District 15",15,"Laurel M. Lee","Republican",182633,131156949.82,718.144857829636,29,"4671,4673,4675,4734,4806,4828,4834,4844","Congressional District 15","12"
"Florida","Florida District 16",16,"Vern Buchanan","Republican",241688,257603311.63,1065.85064889444,33,"4673,4675,4734,4806,4828,4830,4834,4844","Congressional District 16","12"
"Florida","Florida District 17",17,"W. Gregory Steube","Republican",255169,459054165.8,1799.02012313408,42,"4673,4675,4734,4806,4828,4834,4844","Congressional District 17","12"
"Florida","Florida District 18",18,"Scott Franklin","Republican",155069,128453583.54,828.36404142672,55,"4671,4673,4675,4734,4751,4806,4828,4834","Congressional District 18","12"
"Florida","Florida District 19",19,"Byron Donalds","Republican",210479,467276540.14,2220.06252471743,38,"4671,4673,4675,4734,4828,4834","Congressional District 19","12"
"Florida","Florida District 20",20,"Sheila Cherfilus-McCormick","Democrat",25859,14966169.89,578.760582002398,23,"4673,4675,4709,4828,4834","Congressional District 20","12"
"Florida","Florida District 21",21,"Brian J. Mast","Republican",24629,16852793.14,684.266236550408,32,"4673,4675,4734,4834,4844","Congressional District 21","12"
"Florida","Florida District 22",22,"Lois Frankel","Democrat",20052,2823174.22,140.792650109715,24,"4671,4673,4675,4834","Congressional District 22","12"
"Florida","Florida District 23",23,"Jared Moskowitz","Democrat",4583,2367015.33,516.477270346934,26,"4673,4675,4709,4828,4834","Congressional District 23","12"
"Florida","Florida District 24",24,"Frederica S. Wilson","Democrat",760,395492.82,520.385289473684,21,"4673,4675,4709,4734,4834","Congressional District 24","12"
"Florida","Florida District 25",25,"Debbie Wasserman Schultz","Democrat",9373,25423116.25,2712.37770724421,20,"4673,4675,4709,4834","Congressional District 25","12"
"Florida","Florida District 26",26,"Mario Diaz-Balart","Republican",28531,32823570.28,1150.45285058358,24,"4673,4675,4709,4734,4828,4834","Congressional District 26","12"
"Florida","Florida District 27",27,"Maria Elvira Salazar","Republican",187,10198.37,54.5367379679144,24,"4673,4675,4734,4834,4844","Congressional District 27","12"
"Florida","Florida District 28",28,"Carlos A. Gimenez","Republican",729,333176.94,457.032839506173,25,"4673,4675,4709,4834","Congressional District 28","12"
"Georgia","Georgia District 1",1,"Earl L. ""Buddy"" Carter","Republican",95378,71616174.86,750.86681268217,67,"4738,4821,4830","Congressional District 1","13"
"Georgia","Georgia District 2",2,"Sanford D. Bishop, Jr.","Democrat",2049,1641913.06,801.324089799902,14,"4611,4685,4738,4830","Congressional District 2","13"
"Georgia","Georgia District 3",3,"Brian Jack","Republican",5491,4058519.57,739.122121653615,23,"4611,4685,4830","Congressional District 3","13"
"Georgia","Georgia District 4",4,"Henry C. ""Hank"" Johnson, Jr.","Democrat",813,406460.77,499.951746617466,9,"4611,4671,4685,4830","Congressional District 4","13"
"Georgia","Georgia District 5",5,"Nikema Williams","Democrat",7839,7438242.71,948.876477867075,28,"4685,4798,4830","Congressional District 5","13"
"Georgia","Georgia District 6",6,"Lucy McBath","Democrat",254,148361.14,584.098976377953,6,"4830","Congressional District 6","13"
"Georgia","Georgia District 7",7,"Richard McCormick","Republican",81,35773.92,441.653333333333,6,"4673,4830","Congressional District 7","13"
"Georgia","Georgia District 8",8,"Austin Scott","Republican",93892,117502292.09,1251.46223416265,75,"4685,4734,4738,4830,4834","Congressional District 8","13"
"Georgia","Georgia District 9",9,"Andrew S. Clyde","Republican",479,440452.92,919.525929018789,14,"4675,4829,4830","Congressional District 9","13"
"Georgia","Georgia District 10",10,"Mike Collins","Republican",5775,4007212.41,693.889594805195,22,"4685,4830","Congressional District 10","13"
"Georgia","Georgia District 11",11,"Barry Loudermilk","Republican",3,300,100,3,"4830","Congressional District 11","13"
"Georgia","Georgia District 12",12,"Rick W. Allen","Republican",203212,207081022.97,1019.0393430014,93,"4821,4829,4830","Congressional District 12","13"
"Georgia","Georgia District 13",13,"David Scott","Democrat",2243,1599881.86,713.277690592956,9,"4685,4830","Congressional District 13","13"
"Georgia","Georgia District 14",14,NA,NA,1,0,0,1,"4671","Congressional District 14","13"
"Hawaii","Hawaii District 1",1,"Ed Case","Democrat",30,4500,150,13,"4715,4724","Congressional District 1","15"
"Hawaii","Hawaii District 2",2,"Jill N. Tokuda","Democrat",17371,72441644.17,4170.26332220367,27,"4724","Congressional District 2","15"
"Idaho","Idaho District 1",1,"Russ Fulcher","Republican",0,0,NA,0,NA,"Congressional District 1","16"
"Idaho","Idaho District 2",2,"Michael K. Simpson","Republican",0,0,NA,0,NA,"Congressional District 2","16"
"Illinois","Illinois District 1",1,"Jonathan L. Jackson","Democrat",34994,90130463.56,2575.59763273704,21,"4728,4749,4819","Congressional District 1","17"
"Illinois","Illinois District 2",2,"Robin L. Kelly","Democrat",73882,227661323.77,3081.4179877372,29,"4673,4728,4749,4819","Congressional District 2","17"
"Illinois","Illinois District 3",3,"Delia C. Ramirez","Democrat",13177,56353510.13,4276.65706382333,10,"4671,4728,4749,4819","Congressional District 3","17"
"Illinois","Illinois District 4",4,"Jesús G. ""Chuy"" García","Democrat",20688,80308473.67,3881.8867783256,19,"4728,4749,4819","Congressional District 4","17"
"Illinois","Illinois District 5",5,"Mike Quigley","Democrat",1711,4143818.05,2421.86911163063,18,"4728,4749,4819","Congressional District 5","17"
"Illinois","Illinois District 6",6,"Sean Casten","Democrat",4246,10921698.31,2572.23229156854,25,"4728,4749,4819","Congressional District 6","17"
"Illinois","Illinois District 7",7,"Danny K. Davis","Democrat",22015,77060557.08,3500.36598137633,29,"4728,4749,4819","Congressional District 7","17"
"Illinois","Illinois District 8",8,"Raja Krishnamoorthi","Democrat",304,572391.91,1882.868125,11,"4728,4749,4819","Congressional District 8","17"
"Illinois","Illinois District 9",9,"Janice D. Schakowsky","Democrat",1006,2348159.28,2334.15435387674,18,"4728,4749,4819","Congressional District 9","17"
"Illinois","Illinois District 10",10,"Bradley Scott Schneider","Democrat",66,43342.44,656.703636363636,5,"4728,4749,4819","Congressional District 10","17"
"Illinois","Illinois District 11",11,"Bill Foster","Democrat",283,979924.1,3462.62932862191,7,"4728,4749,4819","Congressional District 11","17"
"Illinois","Illinois District 12",12,"Mike Bost","Republican",3788,10792737.62,2849.19155755016,29,"4676,4819","Congressional District 12","17"
"Illinois","Illinois District 13",13,"Nikki Budzinski","Democrat",15197,55926941.08,3680.13035993946,14,"4676,4819","Congressional District 13","17"
"Illinois","Illinois District 14",14,"Lauren Underwood","Democrat",1858,3077834.38,1656.53088266954,16,"4728,4819,4877","Congressional District 14","17"
"Illinois","Illinois District 15",15,"Mary E. Miller","Republican",60,276107.03,4601.78383333333,8,"4676,4819","Congressional District 15","17"
"Illinois","Illinois District 16",16,"Darin LaHood","Republican",1658,3104687.8,1872.54993968637,21,"4819","Congressional District 16","17"
"Illinois","Illinois District 17",17,"Eric Sorensen","Democrat",1893,4698268.48,2481.91678816693,21,"4819","Congressional District 17","17"
"Indiana","Indiana District 1",1,"Frank J. Mrvan","Democrat",832,417805.58,502.170168269231,25,"4671,4704","Congressional District 1","18"
"Indiana","Indiana District 2",2,"Rudy Yakym III","Republican",0,0,NA,0,NA,"Congressional District 2","18"
"Indiana","Indiana District 3",3,"Marlin A. Stutzman","Republican",331,267549.54,808.306767371601,24,"4704","Congressional District 3","18"
"Indiana","Indiana District 4",4,"James R. Baird","Republican",424,263568.64,621.624150943396,26,"4704","Congressional District 4","18"
"Indiana","Indiana District 5",5,"Victoria Spartz","Republican",223,227137.48,1018.55372197309,12,"4586,4704","Congressional District 5","18"
"Indiana","Indiana District 6",6,"Jefferson Shreve","Republican",320,119848.63,374.52696875,9,"4704","Congressional District 6","18"
"Indiana","Indiana District 7",7,"André Carson","Democrat",1,225.33,225.33,1,"4704","Congressional District 7","18"
"Indiana","Indiana District 8",8,"Mark B. Messmer","Republican",330,1328447.7,4025.59909090909,13,"4704","Congressional District 8","18"
"Indiana","Indiana District 9",9,"Erin Houchin","Republican",50,11491.09,229.8218,9,"4614,4704","Congressional District 9","18"
"Iowa","Iowa District 1",1,"Mariannette Miller-Meeks","Republican",494,1902629.7,3851.47712550607,28,"4784,4796","Congressional District 1","19"
"Iowa","Iowa District 2",2,"Ashley Hinson","Republican",1,300,300,1,"4784","Congressional District 2","19"
"Iowa","Iowa District 3",3,"Zachary Nunn","Republican",1675,2698307.63,1610.92992835821,61,"4779,4784","Congressional District 3","19"
"Iowa","Iowa District 4",4,"Randy Feenstra","Republican",7983,70025710.11,8771.85395340098,149,"4671,4778,4779,4784,4796,4807","Congressional District 4","19"
"Kansas","Kansas District 1",1,"Tracey Mann","Republican",1,0,0,1,"4671","Congressional District 1","20"
"Kansas","Kansas District 2",2,"Derek Schmidt","Republican",4,1586.25,396.5625,4,"4671,4728,4749","Congressional District 2","20"
