"State","Congressional District","Representative","Party","Total Applicants","Total Funding","Funding per Applicant","Number of ZIP Codes"
"Washington","Washington District 9","Adam Smith","Democrat",1,0,0,1
"Washington","Washington District 10","Marilyn Strickland","Democrat",8,0,0,7
"West Virginia","West Virginia District 1","Carol D. Miller","Republican",9801,58492451.9300001,5968.0085634119,330
"West Virginia","West Virginia District 2","Riley M. Moore","Republican",1834,14823547.25,8082.63208833152,45
"Wisconsin","Wisconsin District 1","Bryan Steil","Republican",838,3760336.05,4487.27452267303,7
"Wisconsin","Wisconsin District 2","Mark Pocan","Democrat",0,0,NA,0
"Wisconsin","Wisconsin District 3","Derrick Van Orden","Republican",0,0,NA,0
"Wisconsin","Wisconsin District 4","Gwen Moore","Democrat",39402,171281205.85,4347.01806634181,25
"Wisconsin","Wisconsin District 5","Scott Fitzgerald","Republican",5348,30262306.46,5658.62125280479,36
"Wisconsin","Wisconsin District 6","Glenn Grothman","Republican",9,79868.76,8874.30666666667,2
"Wisconsin","Wisconsin District 7","Thomas P. Tiffany","Republican",0,0,NA,0
"Wisconsin","Wisconsin District 8","Tony Wied","Republican",0,0,NA,0
"Wyoming","Wyoming At-Large","Harriet M. Hageman","Republican",0,0,NA,0
