"state_name","district_label","district_number","representative","party","total_applicants","total_funding","funding_per_applicant","n_zips","disaster_numbers","NAMELSAD","STATEFP"
"California","California District 30",30,"Laura Friedman","Democratic",16334,2041838.48,125.005416921758,30,"4856","Congressional District 30","06"
"California","California District 31",31,"Gil Cisneros","Democratic",2010,119827.95,59.615895522388,19,"4707,4856","Congressional District 31","06"
"California","California District 32",32,"Brad Sherman","Democratic",18840,15784252.75,837.805347664544,28,"4683,4699,4856","Congressional District 32","06"
"California","California District 33",33,"Pete Aguilar","Democratic",211,139979.61,663.410473933649,14,"4699,4707","Congressional District 33","06"
"California","California District 34",34,"Jimmy Gomez","Democratic",6930,138051,19.9207792207792,19,"4856","Congressional District 34","06"
"California","California District 35",35,"Norma Torres","Democratic",413,46637.6,112.92397094431,13,"4699,4856","Congressional District 35","06"
"California","California District 36",36,"Ted Lieu","Democratic",5314,515415.92,96.9920812946933,25,"4707,4856","Congressional District 36","06"
"California","California District 37",37,"Sydney Kamlager-Dove","Democratic",10101,95115.64,9.41645777645778,21,"4856","Congressional District 37","06"
"California","California District 38",38,"Linda Sánchez","Democratic",895,31103.41,34.7524134078212,17,"4707,4856","Congressional District 38","06"
"California","California District 39",39,"Mark Takano","Democratic",3,0,0,3,"4610,4699,4707","Congressional District 39","06"
"California","California District 40",40,"Young Kim","Republican",13,7481.61,575.508461538461,2,"4699,4707","Congressional District 40","06"
"California","California District 41",41,"Ken Calvert","Republican",1,0,0,1,"4707","Congressional District 41","06"
"California","California District 42",42,"Robert Garcia","Democratic",2234,28059,12.559982094897,22,"4699,4856","Congressional District 42","06"
"California","California District 43",43,"Maxine Waters","Democratic",5275,107466.62,20.372818957346,22,"4699,4707,4798,4856","Congressional District 43","06"
"California","California District 44",44,"Nanette Barragán","Democratic",1291,25163.54,19.4915104570101,13,"4856","Congressional District 44","06"
"California","California District 45",45,"Derek Tran","Democratic",79,0,0,3,"4707,4856","Congressional District 45","06"
"California","California District 46",46,"Lou Correa","Democratic",0,0,NA,0,NA,"Congressional District 46","06"
"California","California District 47",47,"Dave Min","Democratic",0,0,NA,0,NA,"Congressional District 47","06"
"California","California District 48",48,"Darrell Issa","Republican",718,2247907.69,3130.7906545961,28,"4758","Congressional District 48","06"
"California","California District 49",49,"Mike Levin","Democratic",119,147465.31,1239.20428571429,13,"4610,4758","Congressional District 49","06"
"California","California District 50",50,"Scott Peters","Democratic",787,1472997.1,1871.66086404066,22,"4610,4673,4758","Congressional District 50","06"
"California","California District 51",51,"Sara Jacobs","Democratic",2112,7812361.35,3699.03473011364,17,"4758","Congressional District 51","06"
